CustomerID,CustomerName,Address,Country,City,State,Zip
POLKVALL0001   ,Polk Valley Highway Dept.                                        ,Rural Route 123 Box 45G        ,USA                  ,McHenry                        ,IL                           ,60050
PULASKIE0001   ,Pulaski Enterprises Inc.                                         ,3456 E. Main Parkway           ,USA                  ,Duluth                         ,MN                           ,55806
STMARYHO0001   ,St. Mary's Hospital                                              ,2345 N. River Dr.              ,USA                  ,Milwaukee                      ,WI                           ,53203-2323 
STPATRIC0001   ,St. Patrick's Hospital                                           ,234 Phillip                    ,Australia            ,Melbourne                      ,VIC                          ,3000
SUPERFOO0001   ,Super Foods Plus                                                 ,6543 N.E. Pusher Rd.           ,USA                  ,Detroit                        ,MI                           ,48233-1232 
REYNOLDS0001   ,Reynolds State College                                           ,456 College Drive              ,USA                  ,Benton Harbor                  ,MI                           ,49022-9090 
DOWNTOWN001    ,Downtown Hotel                                                   ,987 Chestnut Avenue            ,                     ,Chicago                        ,IL                           ,60618-2991 
VISIONIN0001   ,Vision Inc.                                                      ,123 S.W.  49 Ave               ,USA                  ,Indianapolis                   ,IN                           ,46206-1222 
VISTATRA0001   ,Vista Travel                                                     ,5678 Broadway                  ,Canada               ,Saskatoon                      ,SK                           ,S5S 6W9    
WESTCENT0001   ,West Central Distributors                                        ,1234 2nd Street                ,USA                  ,Rockford                       ,IL                           ,61126-3214 
SNELLING0001   ,Snelling Communications Inc.                                     ,4321 East Wisconsin Ave.       ,USA                  ,Chicago                        ,IL                           ,60604-4100 
SSPROPER0001   ,S & S Properties                                                 ,1234 S. Roberts St.            ,USA                  ,Detroit                        ,MI                           ,48233-2190 
WESTSIDE0001   ,Westside Cable Service                                           ,123 Domino St. N               ,USA                  ,Lansing                        ,MI                           ,48924-9237 
WORLDENT0001   ,World Enterprises                                                ,987 Office Plaza Drive         ,USA                  ,Detroit                        ,MI                           ,48233-4832 
GREENWAY0001   ,Greenway Foods                                                   ,87654 N 19th Avenue            ,USA                  ,Chicago                        ,IL                           ,60601-6363 
UNIFIEDW0001   ,Unified Wire and Cable Systems                                   ,123 N. Meriam Ave              ,USA                  ,Grand Rapids                   ,MI                           ,49548
VANCOUVE0001   ,Vancouver Resort Hotels                                          ,432 12 Ave. North              ,Canada               ,Vancouver                      ,BC                           ,V6E 3J7    
COUNTRYV0001   ,Country View Estates                                             ,123 Albert Ave                 ,New Zealand          ,Palmerston North               ,                             ,           
CRAWFORD0001   ,"Crawfords, Inc.                                                  ",321 Park Drive                 ,USA                  ,Columbia                       ,MO                           ,65201-3322 
HEARTLAN0001   ,Heartland Tower Systems                                          ,9876 Stevens Street            ,USA                  ,Kansas City                    ,MO                           ,64108
HOLLINGC0001   ,Holling Communications Inc.                                      ,123 Sugar Grove                ,USA                  ,Columbia                       ,MO                           ,65201-3846 
ADVANCED0001   ,Advanced Paper Co.                                               ,456 19th Street S.             ,USA                  ,Chicago                        ,IL                           ,60603-911  
ADVANCED0002   ,Advanced Tech Satellite System                                   ,8765 66 Ave.                   ,Canada               ,Toronto                        ,ON                           ,M8D 7R5    
ALTONMAN0001   ,Alton Manufacturing                                              ,P.O. Box 3343                  ,USA                  ,Detroit                        ,MI                           ,48233-3343 
EXECUTIV0001   ,Executive Resources                                              ,123 Alfred St                  ,Australia            ,Sydney                         ,NSW                          ,2000
FRANCHIS0001   ,Franchise Office Machines                                        ,456 Sherwood Park South        ,USA                  ,Arlington Heights              ,IL                           ,6004-2922  
ASSOCIAT0001   ,Associated Insurance Company                                     ,321 Garden Mall                ,USA                  ,Lincoln                        ,NE                           ,68502-3090 
ASTORSUI0001   ,Astor Suites                                                     ,987 West Alaska Ave            ,USA                  ,Gary                           ,IN                           ,46401-3455 
ATMORERE0001   ,Atmore Retirement Center                                         ,567 W 7th St.                  ,USA                  ,Bloomington                    ,IL                           ,61701-9392 
AARONFIT0001   ,Aaron Fitz Electrical                                            ,One Microsoft Way              ,USA                  ,Redmond                        ,WA                           ,98052-6399 
ADAMPARK0001   ,Adam Park Resort                                                 ,Suite 9876                     ,USA                  ,Indianapolis                   ,IN                           ,46206-1391 
BERRYMED0001   ,Berry Medical Center                                             ,Suite 123                      ,USA                  ,Fond Du Lac                    ,WI                           ,54935-9990 
BOYLESCO0001   ,Boyle's Country Inn's                                            ,1234 Burke                     ,Australia            ,Melbourne                      ,VIC                          ,3000
BREAKTHR0001   ,Breakthrough Telemarketing                                       ,3456 Arbutus St.               ,Canada               ,Montreal                       ,PQ                           ,H3R 3T2    
AMERICAN0001   ,American Science Museum                                          ,789 North Carlton Place        ,USA                  ,St. Louis                      ,MO                           ,63115
AMERICAN0002   ,American Electrical Contractor                                   ,3456 North Calumet Avenue      ,USA                  ,Iowa City                      ,IA                           ,52240-1827 
CELLULAR0001   ,Cellular Express                                                 ,5678 Horseshoe Way             ,USA                  ,Aurora                         ,IL                           ,60507-3322 
CENTERSU0001   ,Center Suite Hotel                                               ,8765 51 Ave S                  ,USA                  ,Minneapolis                    ,MN                           ,55401-7694 
CENTRALC0001   ,Central Communications LTD                                       ,2345 Aukland St. West          ,USA                  ,Chicago                        ,IL                           ,60601-2333 
BAKERSEM0001   ,Baker's Emporium Inc.                                            ,789 University Ave             ,USA                  ,Fort Wayne                     ,IN                           ,46802-3918 
FOURTHCO0001   ,Fourth Coffee                                                    ,345 Industrial Drive           ,USA                  ,Beatrice                       ,NE                           ,68350-1010 
COMMUNIC0001   ,Communication Connections                                        ,"Place 123, Suite 3             ",Canada               ,Winnipeg                       ,MB                           ,R3M 2G6    
COMMUNIC0002   ,Communication Connections                                        ,765 Curtis                     ,Canada               ,Vancouver                      ,BC                           ,V6C 3J9    
COMPUTEC0001   ,Compu-Tech Solutions                                             ,23456 Meridan St. N.E.         ,USA                  ,Green Bay                      ,WI                           ,54305-5303 
CONTOSOL0001   ,"Contoso, Ltd.                                                    ",456 Mineral Point Road         ,USA                  ,Omaha                          ,NE                           ,68145-2401 
CASTLEIN0001   ,Castle Inn Resort                                                ,234 103 Ave.                   ,Canada               ,Ottawa                         ,ON                           ,K4T 8W2    
COMPUTER0003   ,Computer Equipment Leasing                                       ,123 Churchill Rd               ,Australia            ,Sydney                         ,NSW                          ,2000
COMTELPA0001   ,Comtel-Page Inc.                                                 ,23456 82 Ave.                  ,USA                  ,Ames                           ,IA                           ,50010-3976 
CONTINEN0001   ,Continental Properties                                           ,678 Falcon                     ,Australia            ,Sydney                         ,NSW                          ,2000
CENTRALD0001   ,Central Distributing                                             ,Suite 13                       ,USA                  ,La Crosse                      ,WI                           ,54601-9975 
CENTRALI0001   ,Central Illinois Hospital                                        ,765 West 24th Street           ,USA                  ,Peoria                         ,IL                           ,61601-4542 
DATACOMM0001   ,Data Communications Inc.                                         ,9876 112 St.                   ,Canada               ,Edmonton                       ,AB                           ,T5P 1T1    
DIALDIRE0001   ,Dial Direct Paging Inc.                                          ,1234 SE Marine                 ,USA                  ,St. Louis                      ,MO                           ,63155-2343 
DIRECTMA0001   ,Direct Marketers                                                 ,8765 9 St. W.                  ,USA                  ,St. Paul                       ,MN                           ,55101-8011 
COMPUTER0001   ,Computerized Phone Systems                                       ,456 17 St S                    ,USA                  ,Madison                        ,WI                           ,53701-6652 
COMPUTER0002   ,Computers Unlimited                                              ,9876 Bernard St.               ,Canada               ,Edmonton                       ,AB                           ,T5J 2G5    
